ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYzOA==,2020-04-04T01:30:44+00:00,LBAND,264.5937501308404,10.390655635270441,0.00012033638182497207,59000.0,0.9283,0.429,170.284225463867,0.424,-0.581245,0.22,0.09320068359375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY2MQ==,2020-05-25T02:00:10+00:00,LBAND,508.8823697943918,10.390660908531064,1.34036914518913e-05,59000.0,1.6532,0.038,2525.55029296875,3.919,-0.562924,0.04,0.10520098286290322
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc1Ng==,2023-02-16T08:08:14+00:00,LBAND,511.5476240747656,10.39030918462572,1.862261840071699e-05,59000.0,1.4593,0.083,1357.31066894531,2.117,-2.58054,0.04,0.10596478174603174
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc2MA==,2023-03-30T08:08:42+00:00,LBAND,511.46965413084047,10.390223541166225,3.964392123009431e-05,59000.0,11.3293,0.114,2352.7529296875,3.911,-2.61957,0.04,0.09286644345238096
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU3MA==,2019-09-20T17:05:09+00:00,LBAND,257.53764007476656,10.39047150848249,0.00019888293136062875,59000.0,49.6373,0.822,570.203674316406,1.504,-0.906541,0.07,0.051793659621802005
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU5NA==,2019-12-19T11:52:39+00:00,LBAND,291.4838142803741,10.39049895486118,2.915200605463928e-05,59000.0,0.2974,0.064,692.743286132812,1.56,-1.19994,0.13,0.04567768199233716
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYxNA==,2020-03-06T04:45:34+00:00,LBAND,906.5181021308404,10.39053521863029,3.271377330716918e-05,59000.0,4.8229,0.085,2057.23999023438,2.489,-0.65563,0.05,0.09908220409292036
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU1OQ==,2019-08-09T21:48:26+00:00,LBAND,264.43601943925256,10.390382140953173,5.147931444888159e-05,59000.0,0.3394,0.145,309.360961914062,0.786,-1.35874,0.17,0.04613415948275862
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU3Ng==,2019-09-25T21:35:33+00:00,LBAND,2050.5828031401875,10.390499848913192,1.375895451018128e-05,59000.0,7.8571,0.057,5747.9150390625,4.328,-1.00307,0.03,0.0832319134550372
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY1OQ==,2020-05-23T04:50:58+00:00,LBAND,255.81279700934513,10.390647140626486,3.581759993608626e-05,59000.0,0.9376,0.116,763.090515136719,1.611,-0.759901,0.08,0.08499243951612903
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY5Mg==,2020-12-08T17:39:32+00:00,LBAND,255.65575895327038,10.390714758244469,3.038659549217519e-05,59000.0,0.9803,0.076,894.700439453125,2.399,-1.54044,0.06,0.08514994959677419
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU2OA==,2019-09-13T14:20:40+00:00,LBAND,263.5740004485983,10.390497850194807,3.436057387588169e-05,59000.0,1.2248,0.075,1052.70849609375,2.209,-1.15436,0.07,0.04633620689655173
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYxOA==,2020-03-06T05:16:07+00:00,LBAND,898.5992110654199,10.39056617585418,4.678832951435452e-05,59000.0,5.8209,0.096,1853.77124023438,2.223,-0.658464,0.06,0.10063825334821429
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYyMQ==,2020-03-06T05:46:23+00:00,LBAND,905.5769719626161,10.390618731035842,4.369990536328071e-05,59000.0,4.1098,0.114,1254.12548828125,1.679,-0.830082,0.07,0.10873548119469026
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYxNg==,2020-03-06T05:00:51+00:00,LBAND,898.5212411214947,10.39052094547582,5.060279364999254e-05,59000.0,8.2576,0.11,1961.00512695312,2.499,-0.642843,0.06,0.09843046171171171
