#;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;Gl;Gb;
 ; ;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(deg);(deg);
718;J1239-6832;mlt+78;12:39:58.96;2.0e-02;lbs+20;-68:32:28.94;9.0e-02;lbs+20;*;0;*;*;0;*;301.879  ;-5.693   ;
719;J1240-4124;mlt+78;12:40:17.61;4.0e-02;nmc81;-41:24:51.7;7.0e-01;nmc81;*;0;*;*;0;*;300.688  ;21.409   ;
720;J1242+39;ttol16;12:42:34;4.0e+01;ttol16;+39:38;1.0e+01;ttol16;*;0;*;*;0;*;130.760  ;77.360   ;
721;J1243+17;ttk+17;12:43:00;0;ttk+17;+17:52;0;ttk+17;*;0;*;*;0;*;290.630  ;80.536   ;
722;J1243-5735;kbm+03;12:43:35.38;7.0e-02;kbm+03;-57:35:42.8;5.0e-01;kbm+03;*;0;*;*;0;*;301.876  ;5.260    ;
723;J1243-6423;lvw69a;12:43:17.101;1.0e-03;jbv+19;-64:23:23.73;1.0e-02;jbv+19;*;0;*;*;0;*;302.051  ;-1.532   ;
724;J1244-1812;sfj+20;12:44:25.78;5.0e-02;sfj+20;-18:12:16.2;9.0e-01;sfj+20;*;0;*;*;0;*;300.593  ;44.635   ;
725;J1244-5053;ebvb01;12:44:11.48;1.0e-02;ebvb01;-50:53:20.6;1.0e-01;ebvb01;*;0;*;*;0;*;301.764  ;11.966   ;
726;J1244-6359;ncb+15;12:44:47.693;1.8e-02;ncb+15;-63:59:47.4;3.0e-01;ncb+15;*;0;*;*;0;*;302.204  ;-1.134   ;
727;J1244-6531;kel+09;12:44:38.3;2.0e-01;kel+09;-65:31:12;2.0e+00;kel+09;*;0;*;*;0;*;302.227  ;-2.658   ;
728;J1245-6238;mlc+01;12:45:21.12;1.4e-01;mlc+01;-62:38:55.9;8.0e-01;mlc+01;*;0;*;*;0;*;302.233  ;0.215    ;
729;J1246+2253;tdk+93;12:46:49.363;5.0e-03;bfrs18;+22:53:43.27;8.0e-02;bfrs18;*;0;*;*;0;*;288.809  ;85.640   ;
730;J1248-6344;kbm+03;12:48:46.36;5.0e-02;kbm+03;-63:44:09.6;5.0e-01;kbm+03;*;0;*;*;0;*;302.637  ;-0.866   ;
731;J1248-6444;ncb+15;12:48:32.87;2.0e-02;ncb+15;-64:44:00.0;8.0e-01;ncb+15;*;0;*;*;0;*;302.623  ;-1.863   ;
732;J1249-6507;kbm+03;12:49:54.32;9.0e-02;kbm+03;-65:07:19.8;7.0e-01;kbm+03;*;0;*;*;0;*;302.771  ;-2.251   ;
733;J1251-7407;bbb+12;12:51:52.94;1.0e-02;bbb+12;-74:07:15.04;9.0e-02;bbb+12;*;0;*;*;0;*;302.963  ;-11.249  ;
734;J1252+53;gac+21;12:52;1.3e+01;gac+21;+53:42;1.7e+01;gac+21;*;0;*;*;0;*;122.746  ;63.428   ;
735;J1252-6314;mlc+01;12:52:42.62;1.1e-01;mlc+01;-63:14:32.7;6.0e-01;mlc+01;*;0;*;*;0;*;303.075  ;-0.371   ;
736;J1253-5820;mld+96;12:53:28.342;2.0e-03;dsb+98;-58:20:40.89;2.0e-02;dsb+98;24;2.0e+00;jbv+19;13;2.0e+00;jbv+19;303.200  ;4.526    ;
737;J1254-6150;kbm+03;12:54:32.48;6.0e-02;kbm+03;-61:50:50.8;3.0e-01;kbm+03;*;0;*;*;0;*;303.298  ;1.022    ;
738;J1255-46;bcm+16;12:55;4.0e+00;bcm+16;-46:00;4.0e+01;bcm+16;*;0;*;*;0;*;303.578  ;16.867   ;
739;J1255-6131;kbm+03;12:55:54.86;4.0e-02;kbm+03;-61:31:10.1;4.0e-01;kbm+03;*;0;*;*;0;*;303.466  ;1.348    ;
740;J1255-62;ncb+15;12:55:18;3.0e+01;ncb+15;-62:48;7.0e+00;ncb+15;*;0;*;*;0;*;303.373  ;0.068    ;
741;J1257-1027;dtws85;12:57:04.7625;2.0e-04;dgb+19;-10:27:05.551;2.0e-03;dgb+19;-7.15;1.2e-01;dgb+19;12.08;1.1e-01;dgb+19;305.205  ;52.395   ;
742;J1259-6741;mlt+78;12:59:22.64;1.0e-02;lbs+20;-67:41:40.27;6.0e-02;lbs+20;*;0;*;*;0;*;303.688  ;-4.834   ;
743;J1300+1240;wol90a;13:00:03.5767;1.0e-04;kw03;+12:40:56.4721;3.0e-04;kw03;45.50;5.0e-02;kw03;-84.70;7.0e-02;kw03;311.310  ;75.414   ;
744;J1300-6602;ccb+20;13:00:26.93;3.0e-02;ccb+20;-66:02:16.8;2.0e-01;ccb+20;*;0;*;*;0;*;303.848  ;-3.182   ;
745;J1301+0833;rap+12;13:01:38.26;0;lht14;+08:33:57.5;0;lht14;*;0;*;*;0;*;310.811  ;71.282   ;
746;J1301-6305;mlc+01;13:01:45.76;1.4e-01;mlc+01;-63:05:33.9;1.2e+00;mlc+01;*;0;*;*;0;*;304.100  ;-0.244   ;
747;J1301-6310;kbm+03;13:01:28.30;7.0e-02;kbm+03;-63:10:40.5;5.0e-01;kbm+03;*;0;*;*;0;*;304.064  ;-0.328   ;
748;J1302-3258;hrm+11;13:02:26;0;aab+22;-32:58:48;0;aab+22;*;0;*;*;0;*;305.590  ;29.835   ;
749;J1302-63;nj98;13:02:04;8.0e+00;nj98;-63:44:53;6.0e+01;nj98;*;0;*;*;0;*;304.107  ;-0.901   ;
750;J1302-6313;kbm+03;13:02:19.2;7.0e-01;kbm+03;-63:13:29;4.0e+00;kbm+03;*;0;*;*;0;*;304.157  ;-0.379   ;
751;J1302-6350;jlm+92;13:02:47.638337;1.2e-05;mds+18;-63:50:08.62859;8.0e-05;mds+18;-7.01;3.0e-02;mds+18;-0.53;3.0e-02;mds+18;304.184  ;-0.992   ;
752;J1303+38;scb+19;13:03:18;1.8e+01;scb+19;+38:13;3.0e+00;scb+19;*;0;*;*;0;*;111.027  ;78.636   ;
753;J1303-6305;mlc+01;13:03:00.02;2.3e-01;mlc+01;-63:05:00.8;1.5e+00;mlc+01;*;0;*;*;0;*;304.240  ;-0.241   ;
754;J1304+12;aab+22;13:04:27;0;aab+22;+12:02:28;0;aab+22;*;0;*;*;0;*;315.000  ;74.607   ;
755;J1305-6203;mlc+01;13:05:21.14;1.0e-01;psj+19;-62:03:21.07;8.0e-02;psj+19;*;0;*;*;0;*;304.561  ;0.772    ;
756;J1305-6256;mlc+01;13:05:28.0;4.0e-01;mlc+01;-62:56:39;3.0e+00;mlc+01;*;0;*;*;0;*;304.526  ;-0.116   ;
757;J1305-6455;mlt+78;13:05:23.47;2.0e-02;lbs+20;-64:55:28.5;1.0e-01;lbs+20;*;0;*;*;0;*;304.411  ;-2.093   ;
758;J1305-66;kek+13;13:05:36;3.0e+01;kek+13;-66:39;7.0e+00;kek+13;*;0;*;*;0;*;304.338  ;-3.817   ;
759;J1306-4035;kbj+18;13:06:56.30;2.0e-02;lin18;-40:35:23.3;2.0e-01;lin18;*;0;*;*;0;*;306.109  ;22.186   ;
760;J1306-6242;kbm+03;13:06:44.6;1.0e-01;kbm+03;-62:42:03;1.0e+00;kbm+03;*;0;*;*;0;*;304.686  ;0.119    ;
761;J1306-6617;jlm+92;13:06:38.12;1.0e-02;lbs+20;-66:17:21.2;1.0e-01;lbs+20;*;0;*;*;0;*;304.462  ;-3.463   ;
762;J1307-6318;mlc+01;13:07:54.7;6.0e-01;mlc+01;-63:18:35;4.0e+00;mlc+01;*;0;*;*;0;*;304.781  ;-0.497   ;
763;J1307-67;kkl+11;13:07:41;7.2e+01;bbj+11;-67:03:27;4.2e+02;bbj+11;*;0;*;*;0;*;304.518  ;-4.236   ;
764;J1308+2127;hhss02;13:08:48.27;1.0e-02;kkv02;+21:27:06.78;5.0e-02;kkv02;*;0;*;*;0;*;338.733  ;83.082   ;
765;J1308-23;mss+20;13:08;0.0e+00;mss+20;-23;0.0e+00;mss+20;*;0;*;*;0;*;307.888  ;39.712   ;
766;J1308-4650;jbo+09;13:08:44.589;1.9e-02;jbo+09;-46:50:29.7;4.0e-01;jbo+09;*;0;*;*;0;*;306.008  ;15.927   ;
767;J1308-5844;lfl+06;13:08:21.08;3.0e-02;lfl+06;-58:44:13.8;4.0e-01;lfl+06;*;0;*;*;0;*;305.130  ;4.062    ;
768;J1309-6415;mlc+01;13:09:16.6;7.0e-01;mlc+01;-64:15:59;5.0e+00;mlc+01;*;0;*;*;0;*;304.867  ;-1.462   ;
769;J1309-6526;kbm+03;13:09:00.29;8.0e-02;kbm+03;-65:26:16.6;5.0e-01;kbm+03;*;0;*;*;0;*;304.758  ;-2.628   ;
770;J1311-1228;dtws85;13:11:52.649;1.1e-02;hlk+04;-12:28:01.6;4.0e-01;hlk+04;*;0;*;*;0;*;310.723  ;50.095   ;
771;J1311-3430;pgf+12;13:11:45.7242;2.0e-04;pgf+12;-34:30:30.350;4.0e-03;pgf+12;*;0;*;*;0;*;307.681  ;28.176   ;
772;J1312+0051;san16;13:12:46.64232;9.0e-05;san16;+00:51:00.104;3.0e-03;san16;-22.35;6.6e-01;san16;-11.2;1.5e+00;san16;314.842  ;63.227   ;
773;J1312+1810A;kapw91;13:12:55.2;0.0e+00;har10a;+18:10:05;0.0e+00;har10a;-0.133;2.4e-02;vb21;-1.331;2.4e-02;vb21;332.962  ;79.764   ;
774;J1312+1810B;pqm+21;13:12:55.2;0.0e+00;har10a;+18:10:05;0.0e+00;har10a;-0.133;2.4e-02;vb21;-1.331;2.4e-02;vb21;332.962  ;79.764   ;
775;J1312+1810C;pqm+21;13:12:55.2;0.0e+00;har10a;+18:10:05;0.0e+00;har10a;-0.133;2.4e-02;vb21;-1.331;2.4e-02;vb21;332.962  ;79.764   ;
776;J1312+1810D;pqm+21;13:12:55.2;0.0e+00;har10a;+18:10:05;0.0e+00;har10a;-0.133;2.4e-02;vb21;-1.331;2.4e-02;vb21;332.962  ;79.764   ;
777;J1312-5402;mlt+78;13:12:04.708;2.0e-03;lbs+20;-54:02:42.5;2.0e-01;lbs+20;*;0;*;*;0;*;305.994  ;8.704    ;
778;J1312-5516;mlt+78;13:12:53.533;9.0e-03;lbs+20;-55:16:47.3;1.0e-01;lbs+20;*;0;*;*;0;*;306.010  ;7.464    ;
779;J1312-6400;mlc+01;13:12:07.16;1.0e-01;mlc+01;-64:00:55.6;9.0e-01;mlc+01;*;0;*;*;0;*;305.195  ;-1.235   ;
780;J1313+0931;lzb+00;13:13:23.0;1.0e-01;lzb+00;+09:31:56;1.0e+00;lzb+00;*;0;*;*;0;*;320.366  ;71.657   ;
781;J1314-6101;kbm+03;13:14:23.4;9.0e-01;kbm+03;-61:01:16;6.0e+00;kbm+03;*;0;*;*;0;*;305.710  ;1.727    ;
782;J1316-6232;cmk01;13:16:46.3;2.0e-01;cmk01;-62:32:12.2;5.0e-01;cmk01;*;0;*;*;0;*;305.848  ;0.191    ;
783;J1317-0157;mss+20;13:17;0.0e+00;mss+20;-01:57;0.0e+00;mss+20;*;0;*;*;0;*;315.897  ;60.277   ;
784;J1317-5759;mll+06;13:17:46.29;3.0e-02;mlk+09;-57:59:30.5;3.0e-01;mlk+09;*;0;*;*;0;*;306.428  ;4.701    ;
785;J1317-6302;mlc+01;13:17:44.69;7.0e-02;mlc+01;-63:02:52.2;6.0e-01;mlc+01;*;0;*;*;0;*;305.908  ;-0.328   ;
786;J1319-6056;jlm+92;13:19:20.250;7.0e-03;lbs+20;-60:56:46.79;6.0e-02;lbs+20;*;0;*;*;0;*;306.314  ;1.742    ;
787;J1319-6105;kbm+03;13:19:26.32;2.0e-02;kbm+03;-61:05:26.2;1.0e-01;kbm+03;*;0;*;*;0;*;306.311  ;1.597    ;
788;J1320-3512;mld+96;13:20:12.68;4.0e-02;dsb+98;-35:12:26.0;8.0e-01;dsb+98;*;0;*;*;0;*;309.543  ;27.295   ;
789;J1320-5359;mlt+78;13:20:53.921;3.0e-03;jbv+19;-53:59:05.00;4.0e-02;jbv+19;8;4.0e+00;jbv+19;49;4.0e+00;jbv+19;307.305  ;8.637    ;
790;J1320+67;slr+14;13:20;3.0e+00;slr+14;+67:30;1.8e+01;slr+14;*;0;*;*;0;*;118.741  ;49.395   ;
791;J1321-5922;kel+09;13:21:39.56;5.0e-02;kel+09;-59:22:52.1;7.0e-01;kel+09;*;0;*;*;0;*;306.778  ;3.265    ;
792;J1321+8323;dbtb82;13:21:45.6315;7.0e-04;dgb+19;+83:23:39.432;1.0e-03;dgb+19;-52.66;9.0e-02;dgb+19;32.45;1.3e-01;dgb+19;121.887  ;33.672   ;
793;J1322-62;kek+13;13:22:54;3.0e+01;kek+13;-62:51;7.0e+00;kek+13;*;0;*;*;0;*;306.512  ;-0.197   ;
794;J1322-6241;mlc+01;13:22:32.15;1.2e-01;mlc+01;-62:41:53.5;8.0e-01;mlc+01;*;0;*;*;0;*;306.489  ;-0.041   ;
795;J1322-6329;kbm+03;13:22:18.0;2.0e-01;kbm+03;-63:29:37;2.0e+00;kbm+03;*;0;*;*;0;*;306.367  ;-0.828   ;
796;J1324-6146;kbm+03;13:24:43.9;5.0e-01;kbm+03;-61:46:00;3.0e+00;kbm+03;*;0;*;*;0;*;306.859  ;0.851    ;
797;J1324-6302;kbm+03;13:24:13.65;7.0e-02;kbm+03;-63:02:21.1;6.0e-01;kbm+03;*;0;*;*;0;*;306.638  ;-0.404   ;
798;J1325-6253;sbs+22;13:25:04.8907;2.0e-04;sbs+22;-62:53:39.594;2.0e-03;sbs+22;*;0;*;*;0;*;306.753  ;-0.272   ;
799;J1326+33;ttm18;13:26:42;5.0e+01;ttm18;+33:46;2.0e+01;ttm18;*;0;*;*;0;*;76.238   ;79.917   ;
800;J1326-4728A;djk+20;13:26:39.670;3.0e-03;djk+20;-47:30:11.64;1.0e-02;djk+20;-3.250;2.2e-02;vb21;-6.746;2.2e-02;vb21;309.077  ;14.948   ;
801;J1326-4728B;djk+20;13:26:49.563;6.0e-03;djk+20;-47:29:24.62;2.0e-02;djk+20;-3.250;2.2e-02;vb21;-6.746;2.2e-02;vb21;309.107  ;14.957   ;
802;J1326-4728C;djk+20;13:26:44;0;djk+20;-47:30;0;djk+20;-3.250;2.2e-02;vb21;-6.746;2.2e-02;vb21;309.090  ;14.949   ;
803;J1326-4728D;djk+20;13:26:44;0;djk+20;-47:30;0;djk+20;-3.250;2.2e-02;vb21;-6.746;2.2e-02;vb21;309.090  ;14.949   ;
804;J1326-4728E;djk+20;13:26:44;0;djk+20;-47:30;0;djk+20;-3.250;2.2e-02;vb21;-6.746;2.2e-02;vb21;309.090  ;14.949   ;
805;J1326-5859;mlt+78;13:26:58.217;5.0e-03;jbv+19;-58:59:29.29;5.0e-02;jbv+19;*;0;*;*;0;*;307.504  ;3.565    ;
806;J1326-6408;mlt+78;13:26:32.433;2.0e-03;lbs+20;-64:08:43.80;1.0e-02;lbs+20;*;0;*;*;0;*;306.748  ;-1.534   ;
807;J1326-6700;mlt+78;13:26:02.73;2.0e-02;jbv+19;-67:00:49.2;2.0e-01;jbv+19;*;0;*;*;0;*;306.310  ;-4.369   ;
808;J1327-0755;blr+13;13:27:57.5880;1.2e-03;blr+13;-07:55:29.80;4.0e-02;blr+13;27;1.8e+01;blr+13;95;4.8e+01;blr+13;318.383  ;53.848   ;
809;J1327-6222;kac+73;13:27:17.176;9.0e-03;jbv+19;-62:22:45.46;6.0e-02;jbv+19;*;0;*;*;0;*;307.074  ;0.204    ;
810;J1327-6301;jlm+92;13:27:07.4320;3.0e-04;lbs+20;-63:01:15.51;2.0e-02;lbs+20;*;0;*;*;0;*;306.966  ;-0.429   ;
811;J1327-6400;mlc+01;13:27:10.27;1.1e-01;mlc+01;-64:00:13.1;6.0e-01;mlc+01;*;0;*;*;0;*;306.836  ;-1.403   ;
812;J1328-4357;mlt+78;13:28:06.432;1.0e-02;bfg+03;-43:57:44.12;1.0e-01;bfg+03;3;7.0e+00;bfg+03;54;2.3e+01;bfg+03;309.874  ;18.415   ;
813;J1328-4921;mlt+78;13:28:33.58;4.0e-02;nmc81;-49:21:33.4;7.0e-01;nmc81;*;0;*;*;0;*;309.122  ;13.066   ;
814;J1329+13;ttm+18;13:29:00;1.2e+02;ttm+18;+13:44;2.0e+01;ttm+18;*;0;*;*;0;*;338.007  ;73.989   ;
815;J1329-6158;kbm+03;13:29:03.3;6.0e-01;kbm+03;-61:58:59;6.0e+00;kbm+03;*;0;*;*;0;*;307.334  ;0.567    ;
816;J1331-5245;kjv+10;13:31:00.01;4.0e-02;bbb+12;-52:45:25.4;5.0e-01;bbb+12;*;0;*;*;0;*;308.985  ;9.649    ;
817;J1332-03;kkl+15;13:32;2.0e+00;kkl+15;-03:26;3.6e+01;kkl+15;*;0;*;*;0;*;322.250  ;57.909   ;
818;J1332-3032;lml+98;13:32:52.48;6.6e-02;hlk+04;-30:32:17.3;1.7e+00;hlk+04;*;0;*;*;0;*;313.396  ;31.490   ;
819;J1333-4449;jbo+09;13:33:44.829;5.0e-03;jbo+09;-44:49:26.22;1.0e-01;jbo+09;*;0;*;*;0;*;310.774  ;17.403   ;
820;J1334+10;scb+19;13:34:30;1.2e+01;scb+19;+10:05;3.0e+00;scb+19;*;0;*;*;0;*;335.745  ;70.162   ;
821;J1334-5839;mld+96;13:34:30.1091;9.0e-04;dsb+98;-58:39:16.545;8.0e-03;dsb+98;*;0;*;*;0;*;308.520  ;3.749    ;
822;J1335-3642;mld+96;13:35:36;2.0e+01;mld+96;-36:42;4.0e+00;mld+96;*;0;*;*;0;*;312.713  ;25.332   ;
823;J1335-5656;nie+20;13:35:05.4;0;aab+22;-56:56:01;0;aab+22;*;0;*;*;0;*;308.888  ;5.433    ;
824;J1336-2522;kmk+18;13:36:20.84;2.0e-02;kmk+18;-25:22:01.6;5.0e-01;kmk+18;*;0;*;*;0;*;315.557  ;36.401   ;
825;J1336+33;ttm+18;13:36:00;1.2e+02;ttm+18;+33:46;1.5e+01;ttm+18;*;0;*;*;0;*;70.319   ;78.337   ;
826;J1337-4441;kbj+18;13:37:27.749;1.0e-02;sfj+20;-44:41:42.3;2.0e-01;sfj+20;*;0;*;*;0;*;311.478  ;17.412   ;
827;J1337-6306;hfs+04;13:37:20.35;5.0e-02;hfs+04;-63:06:23.3;3.0e-01;hfs+04;*;0;*;*;0;*;308.095  ;-0.696   ;
828;J1337-6423;kjb+12;13:37:31.883;2.0e-03;nbb+14;-64:23:04.915;9.0e-03;nbb+14;-6;6.0e+00;nbb+14;-7;5.0e+00;nbb+14;307.889  ;-1.958   ;
829;J1338-6204;jlm+92;13:38:09.247;7.0e-03;lbs+20;-62:04:18.7;5.0e-01;lbs+20;*;0;*;*;0;*;308.372  ;0.305    ;
830;J1339-4712;jbo+09;13:39:56.5886;1.8e-03;jbo+09;-47:12:05.52;3.0e-02;jbo+09;*;0;*;*;0;*;311.424  ;14.869   ;
831;J1339-6618;kbm+03;13:39:56.6;2.0e-01;kbm+03;-66:18:07.8;7.0e-01;kbm+03;*;0;*;*;0;*;307.786  ;-3.889   ;
832;J1340-6456;mlt+78;13:40:00.32;5.0e-02;nmc81;-64:56:42.9;3.0e-01;nmc81;*;0;*;*;0;*;308.047  ;-2.557   ;
833;J1341-6023;mlc+01;13:41:07.37;3.0e-02;mlc+01;-60:23:34.7;5.0e-01;mlc+01;*;0;*;*;0;*;309.035  ;1.889    ;
834;J1341-6220;mdt85;13:41:42.63;8.0e-02;wmp+00;-62:20:20.7;5.0e-01;wmp+00;*;0;*;*;0;*;308.730  ;-0.035   ;
835;J1342+2822A;hrs+07;13:42:00.67;0.0e+00;pqm+21;+28:22:31.4;0.0e+00;pqm+21;-0.152;2.3e-02;vb21;-2.670;2.2e-02;vb21;42.219   ;78.747   ;
836;J1342+2822B;hrs+07;13:42:11.0871;1.0e-04;hrs+07;+28:22:40.141;2.0e-03;hrs+07;-0.152;2.3e-02;vb21;-2.670;2.2e-02;vb21;42.220   ;78.709   ;
837;J1342+2822C;hrs+07;13:42:11.6;0;har10a;+28:22:38;0;har10a;-0.152;2.3e-02;vb21;-2.670;2.2e-02;vb21;42.217   ;78.707   ;
838;J1342+2822D;hrs+07;13:42:10.2;7.0e-01;hrs+07;+28:22:36;1.6e+01;hrs+07;-0.152;2.3e-02;vb21;-2.670;2.2e-02;vb21;42.215   ;78.712   ;
839;J1342+2822E;pqm+21;13:42:11.6;0.0e+00;har10a;+28:22:38;0.0e+00;har10a;-0.152;2.3e-02;vb21;-2.670;2.2e-02;vb21;42.217   ;78.707   ;
840;J1342+2822F;pqm+21;13:42:11.6;0.0e+00;har10a;+28:22:38;0.0e+00;har10a;-0.152;2.3e-02;vb21;-2.670;2.2e-02;vb21;42.217   ;78.707   ;
841;J1343+6634;mhl+18;13:43:59.26;2.0e-02;mbc+20;+66:34:25.05;9.0e-02;mbc+20;*;0;*;*;0;*;114.896  ;49.727   ;
842;J1344-5855;ccb+20;13:44:53.05;3.0e-02;ccb+20;-58:55:24.77;1.8e-01;ccb+20;*;0;*;*;0;*;309.794  ;3.234    ;
843;J1344-6059;kbm+03;13:44:39.6;3.0e-01;kbm+03;-60:59:31;3.0e+00;kbm+03;*;0;*;*;0;*;309.341  ;1.216    ;
844;J1345-6115;mlc+01;13:45:44.43;1.9e-01;mlc+01;-61:15:30.6;1.6e+00;mlc+01;*;0;*;*;0;*;309.414  ;0.928    ;
845;J1346-4918;bbb+12;13:46:22.35;2.0e-02;bbb+12;-49:18:07.2;1.0e-01;bbb+12;*;0;*;*;0;*;312.059  ;12.594   ;
846;J1347-5947;mlc+01;13:47:19.38;4.0e-02;mlc+01;-59:47:39.8;5.0e-01;mlc+01;*;0;*;*;0;*;309.914  ;2.318    ;
847;J1348-6307;mlc+01;13:48:42.4;4.0e-01;mlc+01;-63:07:04;4.0e+00;mlc+01;*;0;*;*;0;*;309.353  ;-0.962   ;
848;J1349-6130;mlc+01;13:49:36.62;1.8e-01;psj+19;-61:30:17.12;1.5e-01;psj+19;*;0;*;*;0;*;309.813  ;0.587    ;
849;J1349-63;ncb+15;13:49:18;3.0e+01;ncb+15;-63:56;7.0e+00;ncb+15;*;0;*;*;0;*;309.237  ;-1.772   ;
850;J1350-5115;lml+98;13:50:16.159;2.0e-03;lbs+20;-51:15:24.56;3.0e-02;lbs+20;*;0;*;*;0;*;312.233  ;10.549   ;
851;J1350-6225;cwp+17;13:50:44.45;1.0e-02;cwp+17;-62:25:43.8;1.0e-01;cwp+17;*;0;*;*;0;*;309.734  ;-0.343   ;
852;J1352-6803;ebvb01;13:52:34.45;4.0e-02;ebvb01;-68:03:37.1;4.0e-01;ebvb01;*;0;*;*;0;*;308.614  ;-5.866   ;
853;J1354+2454;mss+20;13:54:04;0.0e+00;mss+20;+24:54:06;0.0e+00;mss+20;*;0;*;*;0;*;27.447   ;75.764   ;
854;J1354-6249;kbm+03;13:54:35;1.0e+00;kbm+03;-62:49:30;7.0e+00;kbm+03;*;0;*;*;0;*;310.070  ;-0.832   ;
855;J1355-5153;mlt+78;13:55:58.692;2.0e-03;lbs+20;-51:53:53.95;2.0e-02;lbs+20;*;0;*;*;0;*;312.951  ;9.713    ;
856;J1355-5747;lfl+06;13:55:36.95;1.5e-01;lfl+06;-57:47:15;3.0e+00;lfl+06;*;0;*;*;0;*;311.425  ;4.022    ;
857;J1355-5925;kbm+03;13:55:59.11;5.0e-02;kbm+03;-59:25:00.9;3.0e-01;kbm+03;*;0;*;*;0;*;311.069  ;2.431    ;
858;J1355-6206;kbm+03;13:55:21.34;6.0e-02;kbm+03;-62:06:20.1;5.0e-01;kbm+03;*;0;*;*;0;*;310.332  ;-0.156   ;
859;J1356-5521;mld+96;13:56:50.558;5.0e-03;dsb+98;-55:21:12.96;5.0e-02;dsb+98;*;0;*;*;0;*;312.199  ;6.337    ;
860;J1357-62;kac+73;13:57:25;4.0e+01;tml93;-62:28;5.0e+00;tml93;*;0;*;*;0;*;310.474  ;-0.565   ;
861;J1357-6429;lfl+06;13:57:02.43;2.0e-02;cml+04;-64:29:30.2;1.0e-01;cml+04;*;0;*;*;0;*;309.923  ;-2.514   ;
862;J1358-2533;mld+96;13:58:42;1.5e+01;mld+96;-25:33;3.0e+00;mld+96;*;0;*;*;0;*;321.485  ;34.887   ;
863;J1358-6025;nie+20;13:58:25.9;0;aab+22;-60:25:56;0;aab+22;*;0;*;*;0;*;311.109  ;1.372    ;
864;J1359-6038;mlt+78;13:59:58.248;1.0e-03;jbv+19;-60:38:07.55;1.0e-02;jbv+19;*;0;*;*;0;*;311.239  ;1.126    ;
865;J1400-1431;rsm+13;14:00:37.00361;1.5e-04;skm+17;-14:31:47.045;6.1e-03;skm+17;17;2.1e+00;*;-55;5.6e+00;*;326.986  ;45.087   ;
866;J1400+21;ttm18;14:00:18;3.0e+01;ttm18;+21:27;1.5e+01;ttm18;*;0;*;*;0;*;16.752   ;73.332   ;
867;J1400-6325;rmg+10;14:00:45.69;1.0e-01;tcr+09;-63:25:42.6;7.0e-01;tcr+09;*;0;*;*;0;*;310.592  ;-1.593   ;
868;J1401-6357;mlt+78;14:01:52.45;1.0e-02;lbs+20;-63:57:42.0;1.0e-01;lbs+20;*;0;*;*;0;*;310.569  ;-2.139   ;
869;J1402+13;aab+22;14:03:00;0;aab+22;+13:09:12;0;aab+22;*;0;*;*;0;*;356.596  ;68.201   ;
870;J1402-5021;vl70;14:02:56.0;2.0e-01;lbs+20;-50:21:43;4.9e+01;lbs+20;*;0;*;*;0;*;314.434  ;10.906   ;
871;J1403-0314;mbc+19;14:03:41;0;mbc+19;-03:15:28;0;mbc+19;*;0;*;*;0;*;335.565  ;54.970   ;
872;J1403-6310;kbm+03;14:03:14.0;2.0e-01;kbm+03;-63:10:27;1.0e+00;kbm+03;*;0;*;*;0;*;310.928  ;-1.423   ;
873;J1403-7646;lml+98;14:03:04.1;2.0e-01;dsb+98;-76:46:57.5;6.0e-01;dsb+98;*;0;*;*;0;*;307.096  ;-14.494  ;
874;J1404+1159;cha03;14:04:36.987;8.0e-03;mbc+20;+11:59:16.0;2.0e-01;mbc+20;*;0;*;*;0;*;355.078  ;67.115   ;
875;J1405-4656;btb+15;14:05:21.4255;8.0e-04;btb+15;-46:56:02.31;1.0e-02;btb+15;-44;6.0e+00;btb+15;20;1.0e+01;btb+15;315.826  ;14.079   ;
876;J1405-5641;lfl+06;14:05:12.41;4.0e-02;lfl+06;-56:41:24.2;7.0e-01;lfl+06;*;0;*;*;0;*;312.971  ;4.737    ;
877;J1406-4233;kbj+18;14:06:04.79;3.0e-02;sfj+20;-42:33:20.6;3.0e-01;sfj+20;*;0;*;*;0;*;317.299  ;18.224   ;
878;J1406-5806;kbm+03;14:06:01.2;2.0e-01;kbm+03;-58:06:32;1.0e+00;kbm+03;*;0;*;*;0;*;312.673  ;3.345    ;
879;J1406-6121;mlc+01;14:06:50.04;6.0e-02;mlc+01;-61:21:27.9;6.0e-01;mlc+01;*;0;*;*;0;*;311.841  ;0.203    ;
880;J1407-6048;mlc+01;14:07:58.64;1.3e-01;mlc+01;-60:48:58.8;1.2e+00;mlc+01;*;0;*;*;0;*;312.130  ;0.681    ;
881;J1407-6153;mlc+01;14:07:56.5;5.0e-01;mlc+01;-61:53:59;6.0e+00;mlc+01;*;0;*;*;0;*;311.810  ;-0.354   ;
882;J1409-6953;bbb+12;14:09:16.9;1.0e-01;bbb+12;-69:53:34.4;5.0e-01;bbb+12;*;0;*;*;0;*;309.574  ;-8.031   ;
883;J1410-6132;ojk+08;14:10:23.591;3.0e-03;aab+22;-61:32:08.15;4.0e-02;aab+22;*;0;*;*;0;*;312.195  ;-0.092   ;
884;J1410-7404;eb01b;14:10:07.370;5.0e-03;eb01b;-74:04:53.32;2.0e-02;eb01b;*;0;*;*;0;*;308.349  ;-12.043  ;
