ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%),Iono RM,Iono RM error
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1MjM=,2025-10-01T19:55:53+00:00,LBAND,1023.4874903925232,10.39021290913309,3.823704415568478e-05,59000.0,1.0551,0.107,838.491271972656,0.989,-0.909315,0.11,0.129998154527559,-0.6856901439304587,0.05550375907821393
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyNDU=,2025-09-25T15:21:16+00:00,LBAND,1023.5648741682244,10.390208636094153,1.549058454608241e-05,59000.0,1.9347,0.035,2497.31420898438,3.208,-3.33637,0.04,0.1073834276574803,-1.7672159451268517,0.05262655455698568
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyMDM=,2025-09-16T21:37:35+00:00,LBAND,1022.462155364486,10.39014287027612,1.138069209821002e-05,59000.0,2.5941,0.053,2712.98706054688,3.045,-1.21877,0.03,0.1033541461614173,-0.32865581408608335,0.05320069823135258
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc4MDI=,2025-10-07T18:00:48+00:00,LBAND,1023.5648741682242,10.390220473088124,1.500764622129563e-05,59000.0,4.9354,0.05,3976.55224609375,5.048,-2.28851,0.03,0.1100260416666666,-1.3351782246052486,0.05839260728729685
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc4MDY=,2025-10-07T19:09:20+00:00,LBAND,1023.5648741682242,10.390234045851845,1.458091713593706e-05,59000.0,4.1707,0.034,4660.17724609375,6.19,-1.64121,0.03,0.0891927083333333,-0.8820741054794871,0.05657567677411883
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1NDQ=,2025-09-21T21:11:41+00:00,LBAND,1023.4874903925232,10.390230263774765,2.640489400509308e-05,59000.0,1.5916,0.119,871.69970703125,1.147,-1.31132,0.06,0.0884211983267716,-0.749485434840707,0.05552938505762504
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1NzE=,2025-09-21T16:43:23+00:00,LBAND,1023.5648741682242,10.39026236927448,6.267408421482208e-05,59000.0,1.1127,0.248,322.146301269531,0.515,-2.57757,0.14,0.1226470226377952,-1.6739180180079838,0.05596780302270876
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1ODQ=,2025-09-21T18:26:06+00:00,LBAND,1023.4874903925232,10.39027166587076,2.387968248770258e-05,59000.0,1.0873,0.079,1052.78637695312,1.334,-1.93577,0.07,0.1160187007874015,-1.2473884346017314,0.05723368219241701
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODY5NjA=,2025-09-12T23:08:10+00:00,LBAND,1023.4874903925232,10.39020614190938,1.472512661033947e-05,59000.0,1.3792,0.053,2033.25830078125,2.197,-1.2521,0.05,0.0921429010826771,-0.3917081664397225,0.05150407706955568
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODY5NTg=,2025-09-12T22:33:58+00:00,LBAND,1023.4874903925232,10.39016002949745,1.004533867416515e-05,59000.0,0.4233,0.036,1405.58129882812,1.68,-1.09683,0.06,0.1103515625,-0.39060021556702196,0.0526618323179512
