source_id,ra,dec,parallax,bp_rp,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,l,b,parallax_over_error,radial_velocity,radial_velocity_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_over_error
2587426910590548864,25.344051668185823,12.772108952428983,22.821655,2.7636395,14.240701,33.405365,0.031233048,-10.205999,0.022689102,141.40893480021424,-48.299932716387616,842.3192,-18.913687,3.6925187,1.3003272,37902.375298750085,1318.7135
2587472299804933376,26.084346359140234,12.9139751138525,22.925377,4.147605,17.179075,-19.489239,0.1927734,-30.520216,0.1263049,142.37854108117776,-47.95035516997951,141.89612,,,0.8857404,2531.1414060514476,574.1311
2587497382413965952,26.442056451671824,13.099067744010846,26.028645,3.898528,16.509796,677.9141,0.108268686,-179.35309,0.08902797,142.78774667387742,-47.667148335462606,342.1769,,,1.1423502,4688.43897961866,941.5581
2587730581958190464,24.373921242412496,13.624976220566381,25.16215,2.086194,11.434611,166.12573,0.030936558,176.43077,0.021864073,139.6990880524317,-47.74170372657709,736.8307,9.332521,0.34545216,1.25544,502461.03955587995,2103.5835
2587823215812953344,25.234198436496992,13.870863297881076,20.39962,1.1485167,9.714339,85.01593,0.036872294,9.562891,0.02902395,140.79007938559877,-47.27727470148498,612.0954,28.21658,0.28603458,2.011086,2450253.8732241215,4023.0083
2588250513519142400,25.51041382472177,14.359088333898608,35.113617,2.4008837,12.756443,-270.05795,0.036127556,-185.90634,0.022676075,140.96443294429912,-46.73322999140284,1303.8745,-8.870554,0.8641464,1.4019256,148720.02165609985,1739.5004
2588699835817905024,24.813665401284236,14.714339918772131,25.233747,2.8900013,14.072593,229.94019,0.03156695,-346.6242,0.02284129,139.87706448489803,-46.57815259677916,909.8784,5.432405,4.4745865,1.3311111,44249.62847498591,1387.6509
2589009004743289984,25.305579089719302,14.624052870232072,25.423643,4.038471,17.64075,88.757515,0.19955721,-151.24866,0.12705845,140.57863790359457,-46.53483630687264,174.54666,,,1.0579901,1654.4235204026604,500.78085
2589009004743703936,25.306720890534457,14.623377149416045,25.361221,2.7959948,13.57538,95.95852,0.025010657,-148.11775,0.018558187,140.58045414331355,-46.5351771561633,1260.6837,-10.237473,1.2917795,1.3271667,69951.09507271687,1515.5737
2589107273595379584,24.984830551607622,15.259034677134654,41.107517,1.38622,8.681304,218.02628,0.02537408,-58.77724,0.020425122,139.8957619825694,-46.00906246652782,1736.5791,-21.543173,0.14038293,1.1593702,6344907.407346877,4056.1987
2589304876450784128,24.736814593222338,15.461345494757044,44.089417,0.38471794,14.8484955,-34.9199,0.03193991,-96.69234,0.024598205,139.48680770489307,-45.87769563480617,1527.3895,,,0.987162,21654.51373064709,1838.0782
2589332879637571328,25.184883026761394,15.61931734943181,26.804937,1.0598192,8.678309,180.20407,0.022657005,-29.3563,0.017127931,140.02235680786399,-45.610061771656405,1100.1166,9.905703,0.17586602,0.99936336,6362428.915061633,1756.3989
2589530448133092224,24.898493630411206,16.457962749615564,31.611105,3.0053377,13.89515,-153.78001,0.027655229,-113.43753,0.019643458,139.32787007722712,-44.875225826245845,1308.4733,-0.5946797,1.9079368,1.3172522,52105.89314187832,962.8931
2590110126983850752,19.898178784532735,14.19101759810133,28.520092,2.3930206,12.173873,410.69553,0.046967424,-79.47511,0.021054436,133.18270430316662,-48.11956322884558,929.83655,29.630539,0.24603553,1.6255395,254330.07660686097,2668.5889
2590169844209007488,21.425954875030264,13.656278123943197,32.866447,3.5632935,15.288875,316.218,0.055248577,18.049856,0.036089666,135.51841243329545,-48.37628327902854,621.8061,19.42378,4.0964136,1.1487641,14434.336158193766,1597.3276
2590346766797398016,21.61859121214917,14.322471120887789,22.564571,4.1429214,16.90125,-48.844,0.4907545,-37.270687,0.2448892,135.59256856413393,-47.68614289113443,56.92559,,,2.7415416,3269.2347532770104,360.43787
2590679197266003200,20.870719731398186,15.292444941257425,28.325157,3.5274954,15.822089,-34.40757,0.14856087,-312.04755,0.08924222,134.27286494284323,-46.872450873879444,206.85287,,,2.5025394,8833.054977925403,1371.1865
2591201534008672256,18.00104236123383,15.036509842106184,35.076748,3.788395,15.604001,166.11569,0.15464444,-316.99347,0.094763555,130.29795311587927,-47.54088086247714,335.0545,,,1.9507039,10798.079195352566,1047.1794
2591212494765204480,17.77532837348021,15.113948934871072,20.8877,2.7591267,14.76413,109.08318,0.042081617,-29.381338,0.028613279,129.96417585272135,-47.48913420190232,707.6613,31.748196,3.1766462,1.2438862,23404.267535195297,2513.8215
2591522110367695872,20.590700964499593,16.123688737696195,22.625948,2.8541088,14.53591,-76.82394,0.03741287,-68.2856,0.020323168,133.67378027017276,-46.10206099958696,725.492,8.650764,4.758384,1.1477202,28879.043091539785,2106.4578
2591690644884395776,19.916355286664665,15.962097054316562,22.861687,1.8702898,11.50587,102.19936,0.03223318,-80.74524,0.020402782,132.78844095598026,-46.368730257927325,795.25635,12.710932,0.22420067,1.8470575,470542.3864764102,3057.2651
2591754107321120896,19.500233481464097,16.16948658683004,59.66057,0.15732002,13.782736,-17.203312,0.021280903,-650.6249,0.0140731735,132.17044945968755,-46.22522768596443,3059.6204,,,1.0103896,57789.983887664,2574.1472
2592038399796451712,22.728643519648436,15.564677010858302,23.339022,1.4284859,10.2006035,389.63647,0.027171535,-63.693863,0.015200395,136.7448179450301,-46.24561098466346,878.1696,-35.317184,0.18784295,1.3671608,1565688.8767684868,4030.2256
