designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 57660902318744960,57660902318744960,52.45578099164932,19.587711105176243,25.105431245488447,-53.449336107513034,-216.74491652244245,1.2184714,14.540353,2.776537,10.987591,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3044.338,4.6013,-0.7538,39.8125,0.002,0.0013,8.0E-4
Gaia DR3 58914826609245440,58914826609245440,47.00669274042327,18.29675145917248,20.586759891093532,-145.51945824720514,43.468351009045065,1.112631,8.807683,1.0285778,-11.885837,NOT_AVAILABLE,0,false,false,false,false,false,true,true,5119.509,4.4658,0.2324,48.6922,8.0E-4,6.0E-4,3.0E-4
Gaia DR3 61563069085277440,61563069085277440,52.853519503827094,22.09985700739538,22.133255133366163,131.11775738276611,-17.896077997478045,1.1887887,15.234828,3.331808,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,2993.5073,4.9937,0.1284,45.1335,1.0E-4,1.0E-4,0.0
Gaia DR3 62634474446331904,62634474446331904,51.257908027213766,22.883678698193382,30.274134481639216,406.86795264404833,-142.87199976601605,1.1530248,20.511793,2.6835003,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 62670998849127552,62670998849127552,51.70971596170598,23.258116473172528,21.308470710843437,-39.84674439220993,-75.37083225627711,1.0796592,9.541726,1.1108103,28.572905,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4904.219,4.5818,-0.0851,46.5458,0.001,8.0E-4,4.0E-4
Gaia DR3 65082159129262720,65082159129262720,55.72271025408254,23.446859021038467,23.823840350306234,170.67558116096535,-54.801065798624116,23.347944,13.959754,3.0626993,,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,
Gaia DR3 66286704180780672,66286704180780672,59.727815840257726,25.2196020966507,20.212566326984014,120.61383003835869,-44.46879362360001,1.4688191,12.997293,2.4294863,34.70969,NOT_AVAILABLE,0,true,true,true,false,false,false,true,,,,,,,
Gaia DR3 66556672943906432,66556672943906432,57.43105393745683,24.317708037597455,24.004661459319816,151.09269040800712,-46.58117978778614,2.9143603,12.837364,2.8705435,33.649426,NOT_AVAILABLE,0,true,true,true,false,false,false,true,3000.2214,3.808,-0.7065,42.5806,0.0411,0.0256,0.0171
Gaia DR3 68640281835946240,68640281835946240,54.58082722352369,25.52124806308272,24.252540640756475,68.30316556665849,104.31631276169693,0.8960878,14.894651,,11.480768,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 69228997297025664,69228997297025664,51.90245812465854,25.63420136328831,24.279264153041456,108.1077890744538,-81.67849393143904,1.2505025,12.872594,2.6159725,20.311174,NOT_AVAILABLE,0,true,true,true,false,false,true,true,3110.5278,4.1331,-0.6843,41.1485,0.0072,0.0046,0.0029
Gaia DR3 70051608089857536,70051608089857536,56.585833168451074,26.214633112231297,69.51431432523292,386.7480165677579,-196.3204602101228,1.0633283,8.871369,1.9177771,35.735455,NOT_AVAILABLE,0,true,true,false,false,false,false,true,3655.8152,4.4335,-0.596,14.3752,0.001,7.0E-4,4.0E-4
Gaia DR3 73958104182179840,73958104182179840,34.14716280489077,12.987184054040776,20.03438907948771,-146.16349978810157,-67.02261920557275,2.4357014,14.57518,2.4817505,-22.365526,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,
